Nome da Origem;Player;Nacionality;Position.1;Position.2;Age;Playing Time MP;Playing Time Starts;Playing Time Min;Playing Time 90s;Performance Gls;Performance Ast;Performance G+A;Performance G-PK;Performance PK;Performance PKatt;Performance CrdY;Performance CrdR;Expected xG;Expected npxG;Expected xAG;Expected npxG+xAG;Progression PrgC;Progression PrgP;Progression PrgR;Per 90 Minutes Gls;Per 90 Minutes Ast;Per 90 Minutes G+A;Per 90 Minutes G-PK;Per 90 Minutes G+A-PK;Per 90 Minutes xG;Per 90 Minutes xAG;Per 90 Minutes xG+xAG;Per 90 Minutes npxG;Per 90 Minutes npxG+xAG
tabela_Botafogo-RJ.xlsx;Pablo;br BRA;DF;;32;1;0;29;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tabela_Botafogo-RJ.xlsx;Fabiano;br BRA;DF;;17;1;0;22;0,2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0
tabela_Botafogo-RJ.xlsx;Jacob Montes;ni NCA;FW;MF;25;1;0;19;0,2;1;0;1;1;0;0;0;0;0,1;0,1;0;0,1;0;0;1;4,74;0;4,74;4,74;4,74;0,59;0;0,59;0,59;0,59
tabela_Botafogo-RJ.xlsx;Rafael;br BRA;FW;;33;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tabela_Botafogo-RJ.xlsx;Lucas Barreto;br BRA;GK;;21;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Botafogo-RJ.xlsx;Janderson;br BRA;FW;;24;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Botafogo-RJ.xlsx;Luis Segovia;ec ECU;DF;;26;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Botafogo-RJ.xlsx;Raul Steffens;br BRA;GK;;26;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Botafogo-RJ.xlsx;Squad Total;;;;27,9;38;418;3420;38;58;41;99;54;4;6;96;4;57,3;52,8;41,1;93,9;629;1703;1687;1,53;1,08;2,61;1,42;2,5;1,51;1,08;2,59;1,39;2,47
tabela_Botafogo-RJ.xlsx;Opponent Total;;;;27,7;38;418;3420;38;29;17;46;24;5;6;115;7;35,2;30,5;23;53,5;488;1198;1183;0,76;0,45;1,21;0,63;1,08;0,93;0,6;1,53;0,8;1,41
tabela_Corinthians.xlsx;Rodrigo Garro;ar ARG;MF;FW;26;36;35;2995;33,3;10;10;20;9;1;1;8;0;6;5,2;7,4;12,6;64;246;169;0,3;0,3;0,6;0,27;0,57;0,18;0,22;0,4;0,16;0,38
tabela_Corinthians.xlsx;Raniele;br BRA;MF;DF;27;33;28;2290;25,4;0;0;0;0;0;0;8;0;1,4;1,4;0,9;2,4;20;72;26;0;0;0;0;0;0,06;0,04;0,09;0,06;0,09
tabela_Corinthians.xlsx;Cacá;br BRA;DF;;24;26;26;2298;25,5;4;1;5;4;0;0;4;1;4,3;4,3;0,2;4,6;9;45;1;0,16;0,04;0,2;0,16;0,2;0,17;0,01;0,18;0,17;0,18
tabela_Corinthians.xlsx;Yuri Alberto;br BRA;FW;;22;29;25;2197;24,4;15;4;19;12;3;3;6;1;10,7;8,3;1,9;10,2;52;31;172;0,61;0,16;0,78;0,49;0,66;0,44;0,08;0,51;0,34;0,42
tabela_Corinthians.xlsx;Matheuzinho;br BRA;DF;;23;31;23;2244;24,9;1;1;2;1;0;0;4;0;1,7;1,7;1,6;3,3;43;99;124;0,04;0,04;0,08;0,04;0,08;0,07;0,06;0,13;0,07;0,13
tabela_Corinthians.xlsx;Hugo Souza;br BRA;GK;;25;22;22;1980;22;0;0;0;0;0;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
tabela_Corinthians.xlsx;Hugo;br BRA;DF;;26;25;22;1822;20,2;0;4;4;0;0;0;3;0;0,8;0,8;1,6;2,4;26;72;65;0;0,2;0,2;0;0,2;0,04;0,08;0,12;0,04;0,12
tabela_Corinthians.xlsx;Breno;br BRA;MF;;18;29;22;1780;19,8;0;0;0;0;0;0;5;0;1,4;1,4;1;2,4;24;118;55;0;0;0;0;0;0,07;0,05;0,12;0,07;0,12
tabela_Corinthians.xlsx;Félix Torres Caicedo;ec ECU;DF;;27;22;19;1710;19;0;0;0;0;0;0;3;0;0,8;0,8;0,8;1,6;5;60;2;0;0;0;0;0;0,04;0,04;0,08;0,04;0,08
tabela_Corinthians.xlsx;André Ramalho;br BRA;DF;;31;18;17;1482;16,5;0;1;1;0;0;0;5;1;0,3;0,3;0,3;0,5;10;53;3;0;0,06;0,06;0;0,06;0,02;0,02;0,03;0,02;0,03
tabela_Corinthians.xlsx;Gustavo Henrique;br BRA;DF;;30;18;17;1478;16,4;1;0;1;1;0;0;8;1;0,8;0,8;0,2;1;6;25;2;0,06;0;0,06;0,06;0,06;0,05;0,01;0,06;0,05;0,06
tabela_Corinthians.xlsx;Wesley;br BRA;FW;;18;23;17;1438;16;2;1;3;2;0;0;2;0;1,8;1,8;2,4;4,1;79;45;124;0,13;0,06;0,19;0,13;0,19;0,11;0,15;0,26;0,11;0,26
tabela_Corinthians.xlsx;Matheus Bidu;br BRA;DF;;24;23;16;1500;16,7;2;1;3;2;0;0;3;0;1,1;1,1;0,9;2;35;63;71;0,12;0,06;0,18;0,12;0,18;0,07;0,05;0,12;0,07;0,12
tabela_Corinthians.xlsx;Ángel Romero;py PAR;FW;;31;28;16;1449;16,1;5;4;9;5;0;1;6;0;5,2;4,4;2,8;7,2;33;53;141;0,31;0,25;0,56;0,31;0,56;0,32;0,17;0,5;0,28;0,45
tabela_Corinthians.xlsx;Fagner;br BRA;DF;;34;14;12;913;10,1;0;1;1;0;0;0;4;1;0,1;0,1;2,2;2,3;14;39;49;0;0,1;0,1;0;0,1;0,01;0,21;0,23;0,01;0,23
tabela_Corinthians.xlsx;Igor Coronado;br BRA;MF;FW;31;30;11;1378;15,3;1;2;3;1;0;0;6;0;1,1;1,1;4;5,1;72;114;90;0,07;0,13;0,2;0,07;0,2;0,07;0,26;0,34;0,07;0,34
tabela_Corinthians.xlsx;Memphis;nl NED;FW;;29;11;9;793;8,8;7;1;8;6;1;1;2;0;3,7;2,9;0,9;3,9;24;31;62;0,79;0,11;0,91;0,68;0,79;0,42;0,11;0,53;0,33;0,44
tabela_Corinthians.xlsx;André Carrillo;pe PER;MF;;32;13;8;730;8,1;0;2;2;0;0;0;3;0;0,2;0,2;2,2;2,4;13;66;25;0;0,25;0,25;0;0,25;0,03;0,27;0,29;0,03;0,29
tabela_Corinthians.xlsx;José Andrés Martínez;ve VEN;MF;;29;11;8;633;7;0;0;0;0;0;0;5;1;0;0;0,1;0,2;6;25;5;0;0;0;0;0;0,01;0,02;0,03;0,01;0,03
tabela_Corinthians.xlsx;Matheus Donelli;br BRA;GK;;21;7;7;630;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tabela_Corinthians.xlsx;Alex Santana;br BRA;MF;;28;12;6;569;6,3;0;0;0;0;0;0;2;0;0,8;0,8;0,2;1,1;9;22;6;0;0;0;0;0;0,13;0,03;0,17;0,13;0,17
tabela_Corinthians.xlsx;Carlos Miguel;br BRA;GK;;25;6;6;540;6;0;0;0;0;0;0;3;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0,01
tabela_Corinthians.xlsx;Ryan Gustavo;br BRA;MF;;20;11;6;526;5,8;0;0;0;0;0;0;2;0;0,2;0,2;0,2;0,4;4;16;8;0;0;0;0;0;0,03;0,04;0,07;0,03;0,07
